translit,pos,english,logograms,cuneiform,freq
salāmu,V,be(come) at peace; be(come) reconciled; reconcile; reconciling; soothe; be(come) at peace (with someone); reconciliation; restitution,SILIM SILIM-ME,,99
terṣu,N,stretching out; presentation of offering; pointing; in the time of; protégé; (meaning uncertain),,,99
tinūru,N,oven; furnace,NINDU,,99
ūru,N,(nakedness i.e.) pudenda; vulva; roof; limb; pudenda; nakedness,,,99
ašāgu,N,(a spiny plant); camelthorn; (a common spiny plant),,,98
hišihtu,N,requirement; desire; useful object,,,98
kappu,N,wing; hand; (small) bowl; arrow flight; bowl; feather; list; shore,PA,𒉺,98
karru,N,knob; (a mourning garment); peak; pommel; throne,,,98
MIN,J,(ditto); ditto,MIN,𒈫,98
qatāru,V,smoke; fumigate; smoking; be(come) gloomy,SAR,𒊬,98
rubātu,N,princess; lady; queen,,,98
ṣerretu,N,nose-rope; concubine; mane; halo; strap; lead rope; rope handle; mane?,,,98
emqu,AJ,wise; clever; skilled,,,97
huršāniš,AV,like a mountain,,,97
labīru,N,original; old one,LIBIR.RA-BI LIBIR.RA.BI.GIM,,97
lemnu,N,bad one; evil one; foe; evil doer; evil,HUL HUL.ME,,97
maršītu,N,property; livestock,,,97
sāmtu,N,redness; carnelian; dawn,,,97
tarbītu,N,enlargement; brought up; nurturing; majesty; upbringing; child rearing; (person) brought up; product of,,,97
šipirtu,N,message; letter; order,,,97
dinānu,N,substitution; substitute; attention; as substitute,,,96
erēru,V,be(come) parched?; parch; be(come) parched; be(com)ing parched?,,,96
igisû,N,contribution; gift,,,96
lawû,AJ,surrounded; encircled; surrounding; besieged,NIGIN,,96
lānu,N,form; body; stature; appearance; height; hight; figure,ALAN,𒀩,96
pāqidu,N,carer,,,96
tanattu,N,praise,,,96
tuqumtu,N,battle,,,96
zahalû,N,silver alloy?; silver alloy,,,96
šumma,CNJ,if,BE,,96
baluhhu,N,(an aromatic plant),,,95
diānu,V,judge; judging; administering justice; give judgement; pass judgement,,,95
kamāsu,V,gather in; pack; kneel; pack something into; bowing; have kneel down; kneel down; gather,,,95
mīnû,QP,what?; how?; why?; which,EN,𒂗,95
tibnu,N,straw; (a tax),IN.NU,𒅔𒉡,95
upšaššû,N,(magical) procedure(s); machinations,,,95
ziqpu,N,shoot; culminating star; culmination; sapling; blade; pole; culmination (of star),,,95
šalhû,N,(a wooden grille); large-meshed net; (large-meshed net); (a large-meshed net); outer wall,,,95
annāka,AV,here,,,94
apsasû,N,(an exotic bovid); figurine of an exotic bovid; an exotic bovid; sphinx,,,94
banû,AJ,good; beautiful; created; built; good (thing),,,94
baṭlu,AJ,ceased; disused; cessation,,,94
dannu,N,strong one; full-grown one; powerful man; (large) vat; heavy standard,KALA,,94
gitmālu,AJ,perfect; perfect one; equal; perfect(?),,,94
hašāhu,V,need; desire; needing; want,,,94
maʾdu,AJ,many; much; complicated; enough; many men,,,94
nindabû,N,(food) offering; bread offering,NIDBA,,94
šadânu,N,haematite,,,94
baʾūlātu,N,people; subjects,,,93
bubūtu,N,hunger; famine; scarcity; sustenance; axle; chariot beam; starvation,,,93
gešpû,N,the sign U,,,93
kapāru,V,wipe (clean); (wipe) clean; wipe clean constantly; peel; clear away; performance; rub; wipe clean,U.ME.TE.GUR.GUR,𒌋𒈨𒋼𒄥𒄥,93
kummu,N,cella; shrine; innermost room,,,93
lulû,N,slag; antimony; slag?; antimony?; plenty; splendour?; splendour,,,93
mušallimu,N,one that delivers safely; safeguarder of health; one who delivers safely; one who makes restitution; that delivers safely; one who carries something out in full; that makes good,,,93
palgu,N,ditch; canal,PAB.E,,93
ušmannu,N,(military) camp; camp,,,93
ša-qurbūti,N,close follower; (royal) confidant,,,93
ḫašû,N,lung(s); thyme?; (a medicinal plant),MUR,,93
ṭeḫû,V,be(come) near to; approach; bring; present,TE,𒋼,93
asu,N,bear; myrtle; bear figurine,AZ,,92
ayyumma,XP,any; anyone; whoever; someone,,,92
bâru,V,catch; appear; be(come) firm; catching; revolt; hunting; affirming; be firm,,,92
hīlu,N,exudation; resin,ILLU,,92
kiṣṣu,N,shrine; (designating of holy city),,,92
magal,AV,very (much); greatly; so much; very,,,92
miqtu,N,fall; collapse; fallen piece; illness; falling sickness; epilepsy,,,92
rammû,V,slacken; (meaning uncertain); leave; release; abandon; be(come) loose; drop; forsake,,,92
talīmu,N,favourite brother; (close or beloved) brother,TAM.MA,,92
unqu,N,ring; seal; sealed royal order; royal stamp seal; signet ring,,,92
hātu,N,terror; panic,,,91
kidinnūtu,N,exempt status; privileged status; protection,,,91
lubāru,N,garment; cloth; piece of cloth; clothing; rag,,,91
madādu,V,measure; block up; measure (out); measuring; make clear,,,91
namrīru,N,awe-inspiring radiance; splendour,,,91
watû,V,find; finding; meeting (one another); choose; meet; select,,,91
šību,N,old one; witness; elder; old (person); old person(age); old man; old,,,91
allu,N,hoe; the sign AL,,,90
arāru,V,be(come) convulsed; curse; causing fear; tremble; flicker; cursing; be(com)ing convulsed constantly; frighten,,,90
binûtu,N,creation; appearance; form; product; nature,,,90
egertu,N,inscribed tablet; clay tablet; letter; document,,,90
māhiru,N,opponent; equal; recipient; stockade,GABA.RI,𒃮𒊑,90
mānu,N,counting,,,90
pašru,AJ,released; solved; undone?; loosened; dehusked; apportioned; appeased; separated,,,90
šagāmu,V,roar; buzz; shouting; roaring; make roar,,,90
ṣupru,N,nail; claw; hoof; (finger/toe) nail; (finger/toe-)nail; foot of furniture; tip; fingernail,UMBIN,𒌢,90
ebertu,N,bank; other side; opposite bank,BAL.RI,𒁄𒊑,89
inu,SBJ,when,,,89
niksu,N,cutting (off); breach; cut; slaughter,,,89
temēru,V,cover (in earth); bury; burying,,,89
urû,N,team; team (of equids); stable; stall; (a bowl); aromatics; cut branch; palm frond,,,89
wālidu,N,one who begets,,,89
zarʾu,N,seed(s); agricultural land,NUMUN-LUGAL NUMUN,,89
zuqiqīpu,N,scorpion; figurine; scorpion fish,,,89
ṭuhdu,N,plenty; abundance; wealth,,,89
ebēbu,V,be(come) bright; be(come) clean; be(come) clear; cleanse oneself; purify; purifying; be(come) pure; be(com)ing purified,DADAG,,88
iškāru,N,work assignment; section; series; text series; quota,,,88
pirištu,N,secret; secret plot; secret place; specialized knowledge,AD.HAL,𒀜𒄬,88
rusû,N,dissolution?; sorcery,,,88
uhūlu,N,potash; (an akali-rich plant); (an alkali-rich plant); soda ash,NAGA NAGA.SI,𒉀,88
šadālu,V,be(come) wide; increase; be(com)ing wide; be increased; constantly increase; increasing; enlarge,,,88
šērtu,N,morning; morning hours; guilt; crime; punishment; fault,,,88
ṣehēru,V,be(come) small; be(come) smaller; reduce; youth; deplete; diminish; reducing; shrink,TUR,𒌉,88
gugallu,N,irrigation controller; canal inspector; big ox,,,87
harābu,V,be(come) deserted; devastate; destruction,,,87
nābalu,N,dry land,PA.RI.IM,𒉺𒊑𒅎,87
tillu,N,appendage; attachments; (a garment); (military) equipment; trappings,,,87
tēltu,N,saying; syllabic value,KA.KA.SI.GA KA.AK.SI.IK KA.AK.SI.IK.KA KA.AK.SI.KA KA.KA.SIG.GA KA.SI.GA,𒅗𒅗𒋛𒂵,87
zabālu,V,carry; linger; be carried; deliver; lingering; linger (on); carrying; bearing,,,87
zamāru,V,sing; praise; sing (of); be sung (of); singing (of); singing; sing about; song,,,87
šapālu,V,be(come) low; bringing low; dig deep; lower; stay low; be(come) deep; being deep; digging deep,,,87
elkulla,N,(a medicinal plant or plants); (a medicinal plant),,,86
hepû,V,break; shatter; break open; breaking; destroy; scatter; breaking up; destroying,DAR GAZ,𒁯,86
ibilu,N,camel,,,86
imāru,N,donkey; unit; a unit of area; a unit of capacity,,,86
lēʾû,AJ,powerful; able one; competent; able; able (one),,,86
qīštu,N,gift; offering,,,86
tākultu,N,meal; (cultic) meal; allocation,,,86
šūtu,N,south; south wind,IM.1,,86
ṣarāpu,V,be(come) loud; yell; burn; cause a burning pain; burn (up); give burning pain; burning; dye red,,,86
aggiš,AV,furiously,,,85
arû,V,be(come) pregnant; conceive; vomit; vomiting; keep vomiting; retch; be(com)ing pregnant; cut off,,,85
baltu,N,(a spiny plant); thorn; thornbush,,,85
naprušu,V,fly; fly about; flying; flee; make fly,,,85
pāna,AV,formerly; previously; in front,,,85
ruḫû,N,sorcery; magic,,,85
saggu,N,the sign SAG,,,85
sarāqu,V,strew; sprinkle; be strewn; scatter; pouring,DUB,𒁾,85
waldu,AJ,born,,,85
šuklulu,AJ,complete; perfect; ungelded; completed; uncastrated; ungelded bull,,,85
šūšu,N,liquorice; licorice,,,85
erbû,N,locust,,,84
gamru,AJ,complete; full; total; controlled; finished; final; completely devoted,AL.TIL TIL,𒀠𒌀,84
pādû,AJ,forgiving; sparing; merciful,,,84
rēmēnû,AJ,merciful,,,84
urru,N,daytime; dawn; day,,,84
ēru,N,(a tree); (a type of wood),,,84
šâṭu,V,pull; despise; despising; ignore; pulling; neglect,,,84
ṣumbu,N,wheel; waggon; wagon,,,84
apu,N,reed-bed; canebrake; (a leather object)?; reeds,,,83
hīrtu,N,(equal ranking) wife,MUNUS.NITA.DAM,,83
kurummutu,N,ration; barley (ration); food offering,PAD-HI.A,𒉻𒄭𒀀,83
kūdanu,N,mule; coldness,,,83
māliku,N,adviser; counsellor; one who decides,,,83
pišru,N,release; interpretation,,,83
sadāru,V,place in order; arrange in row; arrange something properly; do regularly; doing regularly; set up in a row; placing in order; (do something) regularly,,,83
sekēru,V,heat; shut off; dam up; block up; block; shutting off; blocking; fire (bricks),,,83
warkānu,AV,later,EGIR,𒂕,83
šadlu,AJ,broad; extensive,,,83
ṣimdu,N,binding; (yoke-)team; bandage; team (of draft animals); 3 seah vessel; 3 sūtu (vessel); 3 seahs; three seah vessel,,,83
amurru,N,Amurru; west wind; west; the West,IM.4 MAR IM.MAR.TU,𒈥,82
deššu,N,the sign AŠ₂; the sign DIŠ,,,82
hadû,V,be(come) joyful; be(come) happy; make happy; make rejoice; rejoice; be(com)ing joyful; be joyful; being joyful,,,82
pānātu,N,front; in front of; front part; in presence; prior time; before; vanguard; at the disposal of,,,82
rabiu,AJ,big; eldest; great; large; old,GAL,𒃲,82
ṣâdu,V,prowl; spin continually; make twitch; roam about; make dizzy; twist; melt down; melting down,,,82
amēlu,N,man; each; anyone; woman; everybody; person; someone,NA,𒈾,81
itqu,N,"fleece; (woollen) tuft; lump; clump; (woollen) flock, tuft",,,81
kūm,PRP,instead of; lest,GIM,,81
nuḫurtu,N,(a variety of asafoetida),NU.LUH.HA,𒉡𒈛𒄩,81
palhu,AJ,fearful; frightened; fearsome; reverent,,,81
qablû,AJ,central; middle; infixed,DUR,,81
tašrihtu,N,glorification; boastfulness; splendour,,,81
ugāru,N,(communally controlled) meadow; field; (communually controlled) meadow; grassland; plain; (community controlled) meadow,,,81
yâšim,IP,"to me; for me; to, for me",,,81
šalamtu,N,corpse,,,81
šēlebu,N,fox; a fish,,,81
šīmu,N,purchase (price); price; commercial goods,,,81
ṭābātu,N,vinegar,,,81
eṣēru,V,draw; drawing; design; mark; plan; (meaning unknown); shape,,,80
harāṣu,V,break off; clear up; breaking off; defining; incising; glow yellow; excavate; reduce,,,80
mātitān,N,all countries; in all lands,,,80
mūṣû,N,exit; going out; direction; escape route; opening; outflow; outlet,,,80
naglabu,N,razor; (part of moon); shoulder-blade; shoulder; hip; shoulder blade,,,80
qâpu,V,fall down; buckle; falling down; collapsing; (en)trust; believe; trust,,,80
rēṣu,N,helper,,,80
wasāmu,V,be(come) fitting; be(com)ing fitting; adorn; fitting; make fitting,,,80
šamaššammū,N,sesame; sesame-tree; sesame oil,,,80
šimtu,N,mark; sign; fate; paint; glue; ownership mark; branding iron,,,80
ahrītu,N,later time; posterity; future; past,,,79
imhur-līm,N,(a medicinal plant),,,79
kanšu,N,submissive one; bowed one; one who is bowed down,,,79
kudurru,N,boundary; eldest son; boundary stone; carrying frame; (earth-carrying) labour (obligation); carrying basket,,,79
maštaku,N,chamber; room; tent(?),,,79
qadūtu,N,silt; dregs,,,79
wardatu,N,girl; maiden; young woman,KI.SIKIL GI KIS.KI.LI.KI KIS.KI.LI.LI,𒄀,79
šipku,N,(a type of leather); heaping up; casting; (a term for cereals); base; dune; pile; casting (of metal),,,79
šībūtu,N,old age; status of elder; testimony,,,79
abšānu,N,yoke,,,78
adānu,N,fixed date; appointed time; cycle (astro.); deadline,,,78
amatu,N,word; matter; order,,,78
aslu,N,unit; ram; (a special cubit measure),,,78
ballukku,N,(a tree); ballukku-plant; (an aromatic substance); (an aromatic plant or tree); (an aromatic plant),MUG,𒈮,78
iltēn,NU,one,,,78
immu,N,"heat (of day); daytime; the sign IM; heat (of day), daytime",,,78
imḫur-ešrā,N,(a climbing plant); 'heals-twenty'-plant; a climbing plant; 'faces twenty'-plant,,,78
labtu,N,(oven-)parched grain; roasted barley; oven (for roasting grain); roasted grain,,,78
nikkassu,N,account; calculation; account(s); asset(s); property; possession(s),,,78
reʾû,V,pasture; direct cattle; shepherd; constantly pasturing; pasturing; constantly shepherd; graze; onstantly shepherd,,,78
rēštu,N,beginning; peak; top; (meaning unknown); first fruits; first rank; first-fruits,,,78
tallu,N,(a container); beam; carrying pole; meridian?; the sign RI; vessel for oil; dividing line; feature in entrails,,,78
tukkannu,N,(leather) bag; chamber,,,78
yānu,V,(there) is not; otherwise,,,78
zakû,V,be(come) clear; cleanse; cleansing; exempt; be(come) clean; be(com)ing free; be(com)ing clear; be(com)ing dehusked,,,78
ammutu,N,unit; a unit of length; unit of length,,,77
balṭu,N,living one; healthy person; survivor,TI TI.LA,𒋾,77
hūlu,N,way; campaign; road; caravan; (meaning uncertain),KASKAL KASKAL.2 KASKAL-LUGAL,𒆜,77
imnu,N,"right (side); right hand; right (side, hand); right one",ZAG,𒍠,77
kamsu,AJ,squatting; kneeling; staying; seated; sitting,,,77
kimahhu,N,grave; tomb,KI.MAH,𒆠𒈤,77
kippatu,N,circle; circumference; hoop; perimeter; ring,,,77
naparkû,V,cease; be(come) inactive; ceasing; stop working; leave; put to an end,,,77
saḫāru,V,go around; avert; cause to seek out; cause to turn on; dispel; return; seek out; turn back and forth,,,77
sūtu,N,unit; (a capacity measure); (a container); seah; a unit of capacity,,,77
šūturu,AJ,very great; superior; surpassing; supreme,,,77
baṭālu,V,cease; ceasing; fail; discontinue; fall into disuse; interrupt; stop; interruption,,,76
biri-,PRP,among; between,,,76
būnu,N,goodness; appearance; beauty; features; good looks; face; outward appearance; nicely,,,76
hamṭu,AJ,quick; quickly cooked; Sumerian verbal tense; perfective,,,76
hasīsu,N,ear; wisdom; mindful,,,76
minītu,N,measure; dimension; calculation; length; limbs; count; proportion; accounting,,,76
parāru,V,be(come) dissolved; scatter; be(come) confused; be(come) powerless; disperse; dispersing; rove; scattering,,,76
pītu,N,opening; harp; doorway; break,BAD,𒁁,76
umāmu,N,animal; beasts; beasts of the wild,,,76
uppu,N,tube; orifice; handle; (a type of) drum; drum; (type of) drum; the sign UB; socket,MUD,,76
zāwiānu,N,enemy,,,76
zūtu,N,sweat,IR,𒅕,76
šakāku,V,harrow; string; thread (on string); threading on a string; stringing beads,,,76
šuplu,N,depth; minimum latitude; low level; melancholy,SIG,𒋝,76
šākinu,N,one who places; provider; imposer; that places; one who performs,GAR,𒃻,76
abbūtu,N,fatherhood; cause; status of father; patronage; intercession,,,75
arhiš,AV,quickly,,,75
baʾlu,AJ,major; bright; exceptionally large; large; exceptionally bright,,,75
buqlu,N,malt,,,75
bāštu,N,dignity; (a stone); vigour; pride; protective force; (source of) pride; genitalia,,,75
errû,N,colocynth?; colocynth,,,75
gašru,AJ,very strong; mighty; strong; powerful; strong (one),,,75
išaru,N,penis; potent one; straight one; straight; normal; righteous one,,,75
marṣu,N,sick one; invalid; patient; illness; grievous thing; sick person; sick; difficult,GIG TU.RA,𒍼,75
munakkiru,N,one who changes; one who alters something; one who removes someone,,,75
nadru,AJ,wild; particularly wild; aggressive; wild one; raging,,,75
nurmû,N,pomegranate; pomegranate tree,,,75
paqdu,AJ,entrusted; appointed; assigned,,,75
qatû,AJ,ended; completed; complete; finished; completely devoted,AL.TIL AL.TIL.LA,𒀠𒌀,75
rakbû,N,messenger; mounted messenger,,,75
sāsu,N,moth; (a stone),UR.ME,𒌨𒈨,75
tibku,N,course of bricks; outpouring; rapids; torrent,,,75
warkû,N,rear part; rear one; successor; back; future one; rear gaurd; rear guard; rear,EGIR,𒂕,75
šiltāhu,N,arrow,,,75
dilû,N,the sign AŠ,,,74
enšu,N,weak one; dilapidated section(s),SIG,𒋝,74
gaqqu,N,the sign KAK,,,74
halṣu,AJ,combed; filtered,,,74
kallātu,N,daughter-in-law; bride,,,74
kurru,N,(a measure of dry capacity); unit; a unit of weight; tanning fluid; (a measurement of dry capacity); (measure of dry capacity); a unit of capacity,GUR,𒄥,74
sebe,NU,seven,IMIN,𒅓,74
takaltu,N,bag; container; equipment?; stomach; trust,,,74
ša ēkalli,N,queen,MUNUS.KUR,,74
šadâniš,AV,like a mountain,,,74
šamru,AJ,furious; wild; fury,,,74
šebēru,V,break; breaking; smash; be broken; break up,,,74
šukuttu,N,adornment; adornement; jewellery; decoration,,,74
šāninu,N,rival,,,74
agubbû,N,holy water vessel,,,73
antalû,N,eclipse,AN.MI,𒀭𒈪,73
buʾʾû,V,look for; seek; looking for; check,,,73
diʾu,N,(a disease of the head); headache; (deity's) throne-platform; cult sockle; (a disease affecting the head); disease affecting the head; throne-platform,,,73
dunnu,N,power; solid ground; fortified house; (a type of bed),KALAG.GA,,73
gipšu,N,uprising; thickening; welling up; massed body of troops; mass; massed body,,,73
habālu,V,do wrong; oppress; be(come) treated unjustly; doing wrong; wrongdoing; be(come) in debt; owe; oppression,,,73
kuzbu,N,attractiveness; (sex) appeal; luxuriance; sexual allure; sex-appeal,HI.LI,𒄭𒇷,73
KÌD.KÌD.BI,N,ritual (instructions),,,73
lasāmu,V,run; running; speed; set out to run; serve; rush,,,73
matāhu,V,lift; pick up; take care of; be(come) advanced; put on; rise,,,73
mušaklilu,N,completer,,,73
nakāpu,V,push; strike down; butt each other; pierce; stub; continually push; deflowering; goring,,,73
nikiptu,N,"euphorbia?; spurge; (aromatic, gum-yielding plant); Euphorbia?",,,73
nisqu,N,"choice, selection; choice; high level; choice one; high quality; best quality",NI.IS.QU,,73
qannu,N,fringe; border; together with; near; outside; environs; (meaning uncertain); among,,,73
rebītu,N,square; genitals; street; abdomen; city square; quarter; district,SILA.DAGAL.LA SILA.DAGAL,,73
sekretu,N,enclosed (woman),MUNUS,,73
tappû,N,companion; mate; associate; partner,,,73
ēnu,N,eye; eye-stone; spring,IGI.2 IGI.2-ME,,73
šî,IP,she; it,,,73
dāt,PRP,behind; after,,,72
etellu,N,lord; pre-eminent one; preeminent one,,,72
ištēniš,AJ,together,UR.BI,𒌨𒁉,72
kiššūtu,N,authority; take-over; exercise of power; totality; supremacy; dominance,,,72
kīsu,N,binding; constriction; bonds; money-bag; purse; (a kind of reed); bag,GI.ZI,𒄀𒍣,72
mēsallu,AJ,(designation of salt); Emesal dialect,EME.SAL EME.SAL.LA,,72
nishu,N,extraction; excerpt; celestial distance; local tariff; orbital velocity; extract(ion); (choice) cut of meat; section of a tablet series,ZI,𒍣,72
nišī,N,people,UN-ME,𒌦𒈨,72
pappardaliu,N,agate?; agate; (a whitish semiprecious stone),BABBAR.DIL,,72
sāpinu,N,one that flattens; flattener,,,72
teslītu,N,appeal; prayer; petition; request; supplication,A.RA.ZU.BI,𒀀𒊏𒍪𒁉,72
ulla,AV,at some time; distant time; earliest times,,,72
šadāhu,V,walk; drift back and forth; go back and forth; proceeding; walking; walk forward; go in procession; make go in procession,,,72
šaniu,NU,second; deputy; following,,,72
šibbu,N,(a fierce mythical snake); belt; (meaning uncertain); (a fierce mythological snake),,,72
šinni pīri,N,ivory,,,72
ammiu,DP,that; them; that (one),,,71
birti,PRP,between,,,71
bīru,N,divination; bull calf; extispicy,HAL,𒄬,71
ebertān,AV,on the opposite bank,,,71
elēlu,V,be(come) pure; purify; be purified; purify oneself; purifying; be(com)ing purified; cleanse oneself,,,71
gurušu,N,the sign KAL,,,71
hamāṭu,V,hasten; burn (up); roasting; burning; burning (up); burn up; be brought early; bringing (offering) in good time,,,71
ihzu,N,learning; mount,,,71
inūšu,AV,at that time; then,,,71
kašāru,V,restore; be(come) satisfactory; accomplish; restoring; succeed,,,71
kupsu,N,husks; sesame pomace,,,71
markasu,N,bond; rope; cable of a boat,,,71
marru,N,shovel; spade; bitter one; the sign MAR,,,71
nammaštû,N,moving things; animals; moving thing,A.ZA.LU.LU,𒀀𒍝𒇻𒇻,71
naptanu,N,meal(-time); banquet,KIN.SIG,𒆥𒋝,71
qardu,N,hero; valiant one,,,71
zubbu,N,fly; figurine,NIM,𒉏,71
šanû,N,(an)other one; second one; stranger; deputy,,,71
ahû,AJ,outside; non-canonical; foreign; outside one; miscellaneous; strange; unknown; outside(r),BAR BAR.RA,𒁇,70
ašlu,N,rope; rush; unit; measuring line; survey team,,,70
ašû,N,(a disease of the head); living creatures,,,70
kūṣu,N,coldness; winter; cold; ague; chill,EN.TE.NA SED,𒂗𒋼𒈾,70
rīqu,AJ,empty; moonless; grammatical term; free; idle (man),SUD,𒋤,70
unnīnu,N,supplication; prayer,,,70
urudû,N,the sign URUDA; copper,,,70
attunu,IP,you; you (pl.),,,69
bahūlātu,N,men,,,69
dalīlu,N,(a type of frog)?; praise; glory,,,69
enēšu,V,be(come) weak; weaken; dilapidating; be(com)ing weak; weakening,SIG,𒋝,69
epinnu,N,(seed) plough; plow; (a constellation); plough; (astronomical handbook),APIN,𒀳,69
erru,N,"intestines; intestine(s); bowel(s); ring; headband; peg?; ring, washer for peg",,,69
idimmu,N,the sign IDIM,,,69
kaqquru,N,ground; area; earth; region; soil; terrain,KI KI.TIM,𒆠,69
mumtalku,N,counsellor; deliberate; deliberate one; circumspect one,,,69
napāšu,V,breathe; be(com)ing abundant; expand; being wide; breathing; letting breathe freely; making wide; relax,,,69
nâlu,V,lie down; lay down; pickle; sleep; lay out; lay someone down; spread out; keep lying down,,,69
šâmu,V,buy; buying; purchasing,,,69
ṣalālu,V,lie (down); sleep; fall asleep; sleeping; put to sleep; lying (asleep); lying down; lying (down),,,69
abūbāniš,AV,like a flood,,,68
ay,MOD,not,NU,𒉡,68
duāku,V,kill; killing,,,68
lētu,N,cheek; side; jamb,TE,𒋼,68
mērehtu,N,aggressiveness; insolence,,,68
nahallu,N,stream; gorge; wadi,,,68
qurdu,N,warriorhood; heroic song; heroic act; heroism,,,68
wadû,V,know; distinguish; make known; recognize; recognizing; reveal; appoint; identify,,,68
bēru,AJ,distant; high; selected; thin (of hair); choice,,,67
dāriš,AV,for ever; forever; permanently,,,67
gimirtu,N,totality,,,67
itpēšu,AJ,expert; competent,,,67
mišihtu,N,measurement; distance; dimension,,,67
naʾādu,V,be(come) attentive; be(come) worried; pay attention; (be)come attentive; watch carefully; be(com)ing attentive; be attentive; be constantly worried,,,67
ulâ,AV,or; otherwise; alternatively,,,67
šaplānu,AV,underneath; below; under; deep down,KI.TA,𒆠𒋫,67
šikittu,N,form; structure; creation; layout; construction,,,67
abarakkūtu,N,function of stewardess,,,66
ayyalu,N,stag; deer; ally; help; aid,,,66
ittû,N,seed-funnel; seeder; bitumen,ESIR,,66
nupšutu,N,throat; life; person,ZI ZI-ME,𒍣,66
pulhu,N,terror,,,66
suādu,N,sedge(-tubers); (an aromatic plant); sedge(-tubers)?; aromatic plant,MAN.DU IM.DI,𒅎𒁲,66
tangussu,N,(a cooking vessal); (a cooking vessel),,,66
uḫūlu,N,potash; alkali; salt-plant,NAGA NAGA.SI,𒉀,66
argamannu,N,purple; purple wool,,,65
elēṣu,V,swell; rejoice; be made joyful; making rejoice; rejoicing; cause to rejoice; make joyful; making joyful,,,65
ikkibu,N,taboo; anathema; sacred thing; privilege,,,65
kurummatu,N,food allocation; food ration; ration; offering; food offering; provisions,PAD-HI.A,𒉻𒄭𒀀,65
kurunnu,N,(a kind of beer); beer,KURUN.NA KURUN.NAM,,65
maruṣtu,N,evil; hardship; distress; malaise; trouble,,,65
mihiṣtu,N,strike; (cuneiform) sign; blow; line; (cuneiform) wedge; cuneiform sign; wound,GU.SUM GU.SUM.GU.SUM,𒄖𒋧,65
mutnennû,N,who prays much; one who prays much; pious one,,,65
muštēširu,N,one who puts in order; one who gives good guidance; one who keeps in order; one who sets straight,,,65
pašqu,AJ,narrow; difficult,,,65
qabaltu,N,middle; city centre,,,65
qarāru,V,writhe; roll; flow; quiver; shimmer; grovelling; making roll?; rolling,GUR.GUR,𒄥𒄥,65
tikpu,N,spot; dot; layer; brick course,,,65
utūnu,N,kiln,UDUN,,65
ēdu,AJ,single; (a medicinal plant); free-standing; alone; only; sole,DILI,,65
šiāru,N,morning; tomorrow,,,65
šār,NU,"3600; eon; for all time; three thousand, six hundred; 3,600",,,65
ṭabāhu,V,slaughter; cause to slaughter; (meaning unknown); slaughtering,,,65
azallû,N,(a medicinal plant),,,64
barû,AJ,seen; checked; collated,IGI.TAB IGI,𒅆𒋰,64
hiṭītu,N,shortfall; crime; deficiency; mistake; sin,,,64
ipšu,N,deed; speech; sortilege; act; ritual; working; (building) works; construction,,,64
kamāru,N,hunting trap; (a fish); defeat,,,64
kanaktu,N,(an incense-bearing tree); incense-tree; incense; aromatic resin; (incense-bearing tree),,,64
kirbānu,N,lump (of earth); (a disease); camomile; clod; lump,LAG,,64
kitnušu,AJ,submissive,,,64
madbaru,N,steppe; desert,,,64
marratu,N,bitter thing; (a bird); sea; the sea,,,64
mušhuššu,N,serpent dragon; serpent-dragon,,,64
mūṣu,N,(a stone); exudation; discharge,,,64
nâdu,V,praise; be praised; praise profusely; praising; repeatedly praise; singing praises antiphonally,,,64
puhādu,N,lamb; (a fish); (male) lamb,,,64
tarāku,V,beat; beating; be(com)ing dark; wield; switch a whip; have someone wield (a tool); throb,,,64
zibbatu,N,tail; tail end; rearguard,KUN,𒆲,64
šunû,N,(a tree); chaste tree,,,64
ṣamādu,V,tie up; bandage; harness; hitch up; yoke; tying up; yoking; cause to bind up,,,64
ṭerû,V,penetrate; rub into; squeeze; press out (liquid); beat; hit,SUR,𒋩,64
ṭurru,N,binding; knot; rope; rectum; cord; (an architectural feature); string,DUR,,64
ṭātu,N,bribe; gift; bribe?,,,64
aptu,N,window; window-opening,,,63
arhu,N,cow; month; half-brick,ITI ITI-ME,,63
ellu,N,sesame oil; pure one,,,63
emqu,N,wise one,,,63
imna,AV,on the right,ZAG,𒍠,63
isqūqu,N,(a coarse flour); (a coarse flour or groats),,,63
kīdānu,AV,outside,,,63
kūdunu,N,mule,,,63
paglu,AJ,powerful; massive,,,63
palhiš,AV,fearfully; reverently,,,63
rabāṣu,V,sit; make lie in wait; lie down; settle; lurking; sitting; lying; make lie down,,,63
sulummû,N,peace-making; peace (treaty),,,63
surrātu,N,lies,,,63
šamāhu,V,grow; make blossom; make flourish; growing; making flourish; grow magnificent; flourish,,,63
šibirru,N,shepherd's staff; sceptre; the sign BURU₁₄; staff,,,63
ṣabāru,V,bend; twinkle; hiss; prattle; twitter; twittering; twist; (meaning unknown),ZI.ZI,𒍣𒍣,63
arbaʾu,NU,four,,,62
arratu,N,curse,,,62
bašû,AJ,existing,,,62
gallābu,N,barber,,,62
issēniš,AV,together; also; at the same time,,,62
nammušu,V,set (o.s.) in motion; set out; make set out; setting out,,,62
nigûtu,N,joyful song; pleasant tune; singing; joyful music; musical celebration; merrymaking,,,62
nukurtu,N,enmity; hostility; emnity; hostile; enemy country,GU.DI.BIR KI.BAL,𒆠𒁄,62
pillû,N,mandragora; (a medicinal plant); mandragora?; (a plant),NAM.TAR,𒉆𒋻,62
