translit,pos,english,logograms,cuneiform,freq
pû,N,mouth; word; chaff; accordance; words; source of watercourse; utterance; wording,KA IN.BUBBU LUH.KA IM.BUBBU KA-MU KA.LUH.UD.DA,𒅗,1340
šiptu,N,incantation; spell; wording; incantation (label),KA.INIM.MA KA.INIM.MA-BI,,1329
zēru,N,seed(s); offspring; arable land; descendant(s); seed-measure; seed; one who hates; hated one,NUMUN NUMUN-LUGAL,,1319
kânu,V,be(come) permanent; make firm; be(come) stable; permanently deposit; set up; be(come) firmly established; establish firmly; establishing firmly,GI.NA GUB GIN,𒄀𒈾,1313
kakku,N,stick; weapon; Weapon (on liver); army; battle; blade; divine emblem,TUKUL,,1276
tiāmtu,N,sea,A.AB.BA KA.A.AB.BA,𒀀𒀊𒁀,1274
erēbu,V,enter; bring; come in; entry; make enter; bring in; entering; repeatedly enter,TU,𒌅,1270
ummānu,N,"army; men; common people; crowd; personnel; soldier; troops; army, troops",ERIM ERIM.HI ERIM.HI.A UGNIM,,1265
wašābu,V,sit (down); make dwell; make sit; wait; cause to sit; dwell; install; sitting (down),,,1263
kî,PRP,like; in accordance with; since; that; when; as; how; just as,GIM,,1258
urdu,N,slave; servant,ARAD,𒀴,1251
nadû,V,throw (down); cast (a spell); cast; set; throw; abandoning; affect; discharge,,,1212
ahu,N,arm; brother; bank; side; at; flank; shore; helper,BAR-RA.NA PAP PAB,𒁇𒊏𒈾,1198
ṣēru,N,back; side; steppe; to(wards); upon; open country; against; in addition to,EDIN EDIN.NA,𒂔,1186
šikaru,N,beer,,,1167
īnu,N,eye; spring; eye-stone; wine; opening,IGI IGI-MIN IGI.MIN IGI.II IGI.2,𒅆,1144
ṣīru,AJ,exalted; exalted one; noble one; lofty; glorious; supreme; high(-quality); high-ranking,MAH.HA MAH MAH-ME,𒈤𒄩,1104
balāṭu,V,live; bring back to life; health; life; vitality; curing; keep alive; recover,AL.TI DIN NAM.TI.LA TI TIN TI.LA,𒀠𒋾,1103
elû,V,go up; be extolled; extol; praise; rise aloft; rise; arise; going up,NIM,𒉏,1099
našû,V,lift; bear; bring; carry away; carry; (meaning uncertain); be(com)ing imbued with; bring something,,,1095
mahāru,V,face; arrive; make accept; present; receive; accept; digest; be confronted,GABA.RI IGI,𒃮𒊑,1094
gimru,N,totality; universe; all; total; entirety; unknown meaning,PAP PAB,𒉽,1081
abnu,N,stone; stone bead; hailstone; stone (in the body); kernels of fruits; kernel; jewel,,,1073
annû,DP,this; these; that; this (matter); this (woman),NE NAM-A,𒉈,1067
rubû,N,prince; king; noble; nobleman; ruler,NUN NUN-ME,𒉣,1064
umma,PRP,saying,,,1060
šemû,V,hear; be(come) heard; make hear; accepting (prayer); hearing; listen to constantly; listen to; listening to,,,1055
ṣābu,N,troops; people; workers; the sign ERIN₂; soldiers; team; men,ERIM ERIM.ME ERIM-MAN ERIM-ME ERIM.MU,,1047
bēltu,N,lady; mistress; goddess; proprietress of,NIN NIN.A.NI,,1045
bābu,N,gate; lid; door; opening; outlet; entrance; mouth,ME.NI,𒈨𒉌,1042
bašû,V,"be (at hand); be; come about; exist; existing; be, exist; appear; be(come) at hand",TUKU.TUKU,,1035
erṣetu,N,earth; underworld; land; netherworld; city quarter; ground; district; territory,KI.A KI KI.TIM,𒆠𒀀,1025
kalû,N,all; all (of it); every; lamentation-priest; orpiment; yellow paste; totality; whole,,,1025
šattu,N,year,MU MU.AN.NA MU.1.KAM MU.AN.NA.ME MU.SAG MU.SAG.LUGAL.LA,𒈬,1025
sâku,V,pound; strain; pulverize; pulverise,,,1017
šubtu,N,seat; abode; bedroom; dwelling (place); dwelling; settlement; site; altar-base,DA.GA.AN.NI,𒁕𒂵𒀭𒉌,1015
nakru,N,enemy; foreigner; strange one; strange; stranger; foreign,,,1004
manû,V,count; list; recite; continually count; charge; counting; reciting; be(come) reckoned,,,1001
qaqqadu,N,head; person; (a stone); capital; top; upper part; best part,SAG.DU SAG SAG.DU-MU SAG.DU.MU,𒊕𒁺,996
ṭābu,AJ,good; sweet; favourable; friendly; aromatic; benevolent; good thing,HI,𒄭,989
wabālu,V,carry; bring; desire; have; offer; stretch; take upon oneself; be(come) worth,,,966
waṣû,V,go out; take out; come out; driving out; emerge; release; releasing; send out,,,947
šalālu,V,carry off; take captive; be carried off; be plundered; plunder; (meaning unknown); plundering; being repeatedly carried off,,,943
kussû,N,chair; throne; seat,GU.ZA,𒄖𒍝,934
karābu,V,pray; bless; greet; greeting; praise constantly; praying; blessing; constantly bless,,,923
erēnu,N,cedar; cedar fragrance; cedar-wood,EREN EREN.NA,𒂞,917
dūru,N,(city) wall; wall; city wall; permanence; eternity; (temple) enclosure; fortress; fortification wall,BAD,𒁁,914
palû,N,reign; period of office; dynasty; symbol of office; (a symbol of authority); the sign BAL; reign (of a king); insignia of kingship,BAL BALA.A BALA,𒁄,904
tāhāzu,N,battle; battle array,,,903
qibītu,N,speech; command; prayer,,,898
lū,CNJ,either; or; whether,,,894
wāšibu,N,inhabitant; one who sits; sitting; that which is seated; residing,,,889
biltu,N,load; tax; tribute; unit; yield; package; talent; rental payment on field,GUN,,874
alpu,N,bull; ox; threatening one; a fish; cattle,GUD GUD-HI.A GUD-ME,𒄞,865
nadānu,V,give; bestow; giving; sell; confer; grant; permit; present,NA.AN.SUM.MU NU.UN.DU.SUM SUM SUM.NA,𒈾𒀭𒋧𒈬,865
awātu,N,word; order; affair(s); command; affair; case; matter; request,INIM INIM.BI INIM-MU,,861
ellu,AJ,pure; clean (person); holy; shiny; bright,KUG KUG.GA SIKIL SIKIL.LA,,861
šū,IP,he; it; that; him; this,BI TU.RA.BI,𒁉,861
aplu,N,heir; first-born; son; descendant; the sign TUR.UŠ,A IBILA,𒀀,857
balāṭu,N,life; good health; lifetime,NAM.TI.LA TI.LA DIN TI TIN,𒉆𒋾𒆷,850
ṭēmu,N,(fore)thought; good news; mind; news; instruction; decision; decisions; initiative,SAG.DIN,𒊕𒁷,839
ṣītu,N,exit; sunrise; east; loss; departure; birth; expenditure; issuance (of abscess),NIM ZI.GA,𒉏,838
qablu,N,"hips; loins; waist; centre, middle; centre; hips, middle; middle; battle",,,821
napištu,N,throat; life; breath; soul,ZI ZI-MU,𒍣,819
šallatu,N,plundered thing(s); booty; captive; despoliation,NAM.RI NAM.RA,𒉆𒊑,818
šamšu,N,sun; gold; sun-disk; golden,UTU,,814
akālu,V,eat; eating; devour; feed; hurt constantly; hurt; slope; be eaten,DU.DU,𒁺𒁺,808
mašku,N,skin; leather; hide; plant-skin; leather (bag),,,786
immeru,N,sheep; ram; a fish,UDU UDU.NITA UDU-HI.A UDU.UDU UDU-ME UDU-HI.A-ME,,784
maddattu,N,payment; tribute,,,770
idu,N,arm; side; power; wage; direction; rental; strength; handle,DA,𒁕,767
banû,V,"create; build, create; fashion; be built; be created; grow; be(come) good; be(com)ing beautiful",,,763
šammu,N,plant(s); drug; herb; grass; plant; the sign U₂; fodder; (a stone),,,758
maqātu,V,fall; perish; throw oneself; affect; die; causing to fall; collapse; defeat,,,744
nāru,N,river; watercourse; musician; canal; the sign LUL; singer,NAR,,733
rašû,V,acquire; be(come) affected by; get repeatedly; have; be(come) red; acquiring; cause to acquire; supply,TUK TUKU AN.TUKU.TUKU NA.AN.TUKU.TUKU TUK.TUK,𒌇,718
līm,NU,thousand,LIM,,714
abātu,V,destroy; destroying; be destroyed completely; be destroyed; destroy completely; collapsing; run away; escaping,GUL,𒄢,707
kīnu,AJ,permanent; true; truthful; faithful; legitimate; reliable; righteous; correct,GI GI.NA GIN,𒄀,705
issu,PRP,from; since,TA,𒋫,704
šīru,N,flesh; baby; meat; ominous part; omen in entrails; body; omen; skin,UZU UZU-BI UZU-ME UZU.BI UZU-MU UZU.HI.A,𒍜,704
sisû,N,horse; the sign SI,KUR,𒆳,703
sinništu,N,woman; wife; female; girl,MUNUS KI,𒆠,699
šaknu,N,appointee; governor; prefect,GAR GAR.KUR,𒃻,697
epāšu,V,do; doing; make; be(come) done; apply; arrange; arrangement; be(come) performed,,,694
malû,V,be(come) full; be filled; fill; be(com)ing full; be handed over; bequeath; cover; nock,DIRI,,692
ilūtu,N,godhead; divinity,,,679
šaṭāru,V,write (down); write; copy; writing; have inscribed; have written; inscribe; record,IN.SAR SAR,𒅔𒊬,677
marʾu,N,son; lord; citizen,A A-MAN DUMU DUMU-LUGAL DUMU-MAN DUMU-ME,𒀀,672
marṣu,AJ,sick; worried; difficult; invalid; patient; sick person; bitter; grievous,GIG GIG.GA,𒍼,670
annīu,DP,this,,,669
dâku,V,kill; harm; defeat; killing; beat; strike down; break; be(come) killed,GAZ GAZ.GAZ,,669
bānû,N,creator; creatrix; builder; engenderer,,,666
šaqû,V,be(come) high; exalt; stand high; give to drink; be(com)ing high; give to drink repeatedly; raising high; be(com)ing raised up,LAL NAG,𒇲,666
šiqlu,N,unit; shekel; a unit of weight; a unit of surface area,,,662
agurru,N,baked brick,,,661
iššiakku,N,city-ruler; city ruler; (a class of farmer); vice-regent (of a god); agricultural manager,,,659
qaqqaru,N,ground; (blank) space; earth; region; surface; territory; zodiacal sign; (plot of) ground,KI KI.TIM,𒆠,658
